date,date_str,ticker,open,high,low,close,adj_close,volume,dividends,stock_splits,company_name
2024-01-09 00:00:00-05:00,2024-01-09,GOOGL,137.46139607476167,140.42897968026014,137.11401464787397,139.8930206298828,139.8930206298828,24759600,0.0,0.0,Alphabet Inc.
2024-01-10 00:00:00-05:00,2024-01-10,GOOGL,139.94265824666346,141.927660491297,139.8533367803026,141.2130584716797,141.2130584716797,21320200,0.0,0.0,Alphabet Inc.
2024-01-11 00:00:00-05:00,2024-01-11,GOOGL,142.41394082764796,144.1309629179814,139.58530757762105,141.01451110839844,141.01451110839844,24008700,0.0,0.0,Alphabet Inc.
2024-01-12 00:00:00-05:00,2024-01-12,GOOGL,141.6001002299109,142.12612449032548,140.75648355960536,141.5802459716797,141.5802459716797,18785500,0.0,0.0,Alphabet Inc.
2024-01-16 00:00:00-05:00,2024-01-16,GOOGL,140.93514731118603,143.267530806828,140.38926871174172,141.42147827148438,141.42147827148438,22670500,0.0,0.0,Alphabet Inc.
2024-01-17 00:00:00-05:00,2024-01-17,GOOGL,140.2900233777166,140.77633917868644,137.85838379541343,140.40911865234375,140.40911865234375,20968600,0.0,0.0,Alphabet Inc.
2024-01-18 00:00:00-05:00,2024-01-18,GOOGL,140.9847683324612,143.12857410055258,140.92522069629695,142.40403747558594,142.40403747558594,25746400,0.0,0.0,Alphabet Inc.
2024-01-19 00:00:00-05:00,2024-01-19,GOOGL,143.65460180395502,145.35177005215584,143.29730083417112,145.2823028564453,145.2823028564453,34271900,0.0,0.0,Alphabet Inc.
2024-01-22 00:00:00-05:00,2024-01-22,GOOGL,145.99689454630132,147.2772140972634,144.7463336676715,144.8952178955078,144.8952178955078,32200400,0.0,0.0,Alphabet Inc.
2024-01-23 00:00:00-05:00,2024-01-23,GOOGL,144.79596212537868,146.07628167971635,144.40888736296378,145.9373321533203,145.9373321533203,21636100,0.0,0.0,Alphabet Inc.
2024-01-24 00:00:00-05:00,2024-01-24,GOOGL,147.42606561840296,148.72625441809143,146.98937797744674,147.58486938476562,147.58486938476562,25233500,0.0,0.0,Alphabet Inc.
2024-01-25 00:00:00-05:00,2024-01-25,GOOGL,148.94462008165343,151.90226857782716,148.41858066213035,150.73110961914062,150.73110961914062,29149100,0.0,0.0,Alphabet Inc.
2024-01-26 00:00:00-05:00,2024-01-26,GOOGL,149.9668989175663,151.39608755777192,149.87756232275885,151.04872131347656,151.04872131347656,26115500,0.0,0.0,Alphabet Inc.
2024-01-29 00:00:00-05:00,2024-01-29,GOOGL,150.919687123006,152.62678991300623,150.29440669865645,152.3588104248047,152.3588104248047,27784300,0.0,0.0,Alphabet Inc.
2024-01-30 00:00:00-05:00,2024-01-30,GOOGL,151.65415115558076,152.46799407543287,150.05622398904708,150.32420349121094,150.32420349121094,36331800,0.0,0.0,Alphabet Inc.
2024-01-31 00:00:00-05:00,2024-01-31,GOOGL,142.5429852293833,142.9201404462014,138.82110657193016,139.0493927001953,139.0493927001953,71910000,0.0,0.0,Alphabet Inc.
2024-02-01 00:00:00-05:00,2024-02-01,GOOGL,141.0542328791591,141.9871862131904,139.73420477296187,140.1014404296875,140.1014404296875,40466500,0.0,0.0,Alphabet Inc.
2024-02-02 00:00:00-05:00,2024-02-02,GOOGL,138.21567319652831,141.55047690627347,135.47637609880854,141.31228637695312,141.31228637695312,62499600,0.0,0.0,Alphabet Inc.
2024-02-05 00:00:00-05:00,2024-02-05,GOOGL,141.7489723902992,144.37909346860508,141.70926387721508,142.60250854492188,142.60250854492188,38505400,0.0,0.0,Alphabet Inc.
2024-02-06 00:00:00-05:00,2024-02-06,GOOGL,143.5652726486309,144.26995506660353,142.11622957806597,143.0194091796875,143.0194091796875,29128200,0.0,0.0,Alphabet Inc.
2024-02-07 00:00:00-05:00,2024-02-07,GOOGL,143.67444354834973,144.52799503931547,142.85066587671363,144.44859313964844,144.44859313964844,25208900,0.0,0.0,Alphabet Inc.
2024-02-08 00:00:00-05:00,2024-02-08,GOOGL,144.73640926724323,145.2326597213676,144.01188784464298,144.81581115722656,144.81581115722656,22563800,0.0,0.0,Alphabet Inc.
2024-02-09 00:00:00-05:00,2024-02-09,GOOGL,145.58003513170593,148.31934750358255,145.08378464629212,147.8826446533203,147.8826446533203,26829500,0.0,0.0,Alphabet Inc.
2024-02-12 00:00:00-05:00,2024-02-12,GOOGL,147.30698549594433,148.2200845297744,146.26485649564665,146.4236602783203,146.4236602783203,21564100,0.0,0.0,Alphabet Inc.
2024-02-13 00:00:00-05:00,2024-02-13,GOOGL,143.83323854119595,145.57011523611322,142.61246659033287,144.0515899658203,144.0515899658203,27837700,0.0,0.0,Alphabet Inc.
2024-02-14 00:00:00-05:00,2024-02-14,GOOGL,144.98454584573585,145.42124870265448,143.00946343171321,144.84559631347656,144.84559631347656,22704200,0.0,0.0,Alphabet Inc.
2024-02-15 00:00:00-05:00,2024-02-15,GOOGL,142.06659185995144,142.44374708435768,139.40669646187024,141.69937133789062,141.69937133789062,37590700,0.0,0.0,Alphabet Inc.
2024-02-16 00:00:00-05:00,2024-02-16,GOOGL,141.9177107623263,142.1162079157189,139.08907710730534,139.4662322998047,139.4662322998047,31468900,0.0,0.0,Alphabet Inc.
2024-02-20 00:00:00-05:00,2024-02-20,GOOGL,138.6126638713999,141.01451396423664,138.44394055453833,140.06170654296875,140.06170654296875,25144700,0.0,0.0,Alphabet Inc.
2024-02-21 00:00:00-05:00,2024-02-21,GOOGL,140.3892306459635,141.61993705061454,139.62500081395828,141.48098754882812,141.48098754882812,23223300,0.0,0.0,Alphabet Inc.
2024-02-22 00:00:00-05:00,2024-02-22,GOOGL,143.84317297313012,143.9126553174059,141.72915598973884,143.0094757080078,143.0094757080078,27191900,0.0,0.0,Alphabet Inc.
2024-02-23 00:00:00-05:00,2024-02-23,GOOGL,142.5925983953203,143.59501882359496,142.35439273418308,142.88043212890625,142.88043212890625,19493800,0.0,0.0,Alphabet Inc.
2024-02-26 00:00:00-05:00,2024-02-26,GOOGL,141.07409774924443,141.37185109123465,136.35971779155244,136.5383758544922,136.5383758544922,53641800,0.0,0.0,Alphabet Inc.
2024-02-27 00:00:00-05:00,2024-02-27,GOOGL,136.98496493981133,138.20573668591595,136.0619313188344,137.83851623535156,137.83851623535156,33099200,0.0,0.0,Alphabet Inc.
2024-02-28 00:00:00-05:00,2024-02-28,GOOGL,136.8658750875032,136.9750507978896,134.3945574118629,135.35728454589844,135.35728454589844,37328600,0.0,0.0,Alphabet Inc.
2024-02-29 00:00:00-05:00,2024-02-29,GOOGL,136.25053286698093,137.81868622745773,135.377127161307,137.42169189453125,137.42169189453125,42133000,0.0,0.0,Alphabet Inc.
2024-03-01 00:00:00-05:00,2024-03-01,GOOGL,137.39190716020826,137.82861002648335,135.89323609127652,136.11158752441406,136.11158752441406,31151100,0.0,0.0,Alphabet Inc.
2024-03-04 00:00:00-05:00,2024-03-04,GOOGL,134.64268084656484,134.64268084656484,130.9208023300921,132.35000610351562,132.35000610351562,55999400,0.0,0.0,Alphabet Inc.
2024-03-05 00:00:00-05:00,2024-03-05,GOOGL,130.8910407129197,132.24084271980698,129.6901078028214,131.67510986328125,131.67510986328125,40194800,0.0,0.0,Alphabet Inc.
2024-03-06 00:00:00-05:00,2024-03-06,GOOGL,132.12171457090452,132.57827164707297,129.86874843851078,130.41461181640625,130.41461181640625,35318600,0.0,0.0,Alphabet Inc.
2024-03-07 00:00:00-05:00,2024-03-07,GOOGL,131.79418082018677,133.92806672802465,130.6230370899261,133.3722686767578,133.3722686767578,37738200,0.0,0.0,Alphabet Inc.
2024-03-08 00:00:00-05:00,2024-03-08,GOOGL,133.20356361663008,137.05445713321666,132.99513174664168,134.39456176757812,134.39456176757812,39370400,0.0,0.0,Alphabet Inc.
2024-03-11 00:00:00-04:00,2024-03-11,GOOGL,135.10915896262767,138.05688799115902,135.10915896262767,136.63760375976562,136.63760375976562,32437800,0.0,0.0,Alphabet Inc.
