date,date_str,ticker,open,high,low,close,adj_close,volume,dividends,stock_splits,company_name
2024-01-09 00:00:00-05:00,2024-01-09,AAPL,182.19931060924736,183.41779895114087,181.0204413910758,183.40789794921875,183.40789794921875,42841800,0.0,0.0,Apple Inc.
2024-01-10 00:00:00-05:00,2024-01-10,AAPL,182.6253074687535,184.6561164657865,182.1993225017619,184.44808959960938,184.44808959960938,46792900,0.0,0.0,Apple Inc.
2024-01-11 00:00:00-05:00,2024-01-11,AAPL,184.79480792904317,185.3000462697353,181.90212796654464,183.85369873046875,183.85369873046875,49128400,0.0,0.0,Apple Inc.
2024-01-12 00:00:00-05:00,2024-01-12,AAPL,184.3192620966332,184.9929080300122,183.45740645795848,184.18057250976562,184.18057250976562,40477800,0.0,0.0,Apple Inc.
2024-01-16 00:00:00-05:00,2024-01-16,AAPL,180.4557997638508,182.53614407524432,179.2372961857114,181.91204833984375,181.91204833984375,65603000,0.0,0.0,Apple Inc.
2024-01-17 00:00:00-05:00,2024-01-17,AAPL,179.57411959355028,181.2185778549055,178.613193289656,180.97091674804688,180.97091674804688,47317400,0.0,0.0,Apple Inc.
2024-01-18 00:00:00-05:00,2024-01-18,AAPL,184.34901955890965,187.3704881134165,184.0914574471942,186.86526489257812,186.86526489257812,78005800,0.0,0.0,Apple Inc.
2024-01-19 00:00:00-05:00,2024-01-19,AAPL,187.5587198414397,190.15420352293785,187.0534966021051,189.76785278320312,189.76785278320312,68903000,0.0,0.0,Apple Inc.
2024-01-22 00:00:00-05:00,2024-01-22,AAPL,190.50092877344645,193.50258021639056,190.46129453087994,192.0760498046875,192.0760498046875,60133900,0.0,0.0,Apple Inc.
2024-01-23 00:00:00-05:00,2024-01-23,AAPL,193.19548176740474,193.91864797179585,192.01661247228014,193.35397338867188,193.35397338867188,42355600,0.0,0.0,Apple Inc.
2024-01-24 00:00:00-05:00,2024-01-24,AAPL,193.59175002999643,194.54277541900203,192.52185213587853,192.68035888671875,192.68035888671875,53631300,0.0,0.0,Apple Inc.
2024-01-25 00:00:00-05:00,2024-01-25,AAPL,193.39358838897635,194.43376796447615,191.30332823639347,192.35340881347656,192.35340881347656,54822100,0.0,0.0,Apple Inc.
2024-01-26 00:00:00-05:00,2024-01-26,AAPL,192.45249496932922,192.93790105900956,190.14429166563914,190.6197967529297,190.6197967529297,44594000,0.0,0.0,Apple Inc.
2024-01-29 00:00:00-05:00,2024-01-29,AAPL,190.2136280052267,190.4018528619721,187.8063693410428,189.93624877929688,189.93624877929688,47145600,0.0,0.0,Apple Inc.
2024-01-30 00:00:00-05:00,2024-01-30,AAPL,189.1536549714469,190.0056098088079,185.71611749758625,186.28077697753906,186.28077697753906,55859400,0.0,0.0,Apple Inc.
2024-01-31 00:00:00-05:00,2024-01-31,AAPL,185.29015149256165,185.34960286351708,182.62533032879216,182.6748504638672,182.6748504638672,55467800,0.0,0.0,Apple Inc.
2024-02-01 00:00:00-05:00,2024-02-01,AAPL,182.26865674153308,185.20095550981347,182.10024901841177,185.11180114746094,185.11180114746094,64885400,0.0,0.0,Apple Inc.
2024-02-02 00:00:00-05:00,2024-02-02,AAPL,178.1773017145222,185.5774165638072,177.57300802816712,184.11126708984375,184.11126708984375,102551700,0.0,0.0,Apple Inc.
2024-02-05 00:00:00-05:00,2024-02-05,AAPL,186.38972207997213,187.4794368744002,184.10133612770585,185.9241180419922,185.9241180419922,69668800,0.0,0.0,Apple Inc.
2024-02-06 00:00:00-05:00,2024-02-06,AAPL,185.1118168962398,187.53889270164484,185.02266252630227,187.52899169921875,187.52899169921875,43490800,0.0,0.0,Apple Inc.
2024-02-07 00:00:00-05:00,2024-02-07,AAPL,188.85644306077413,189.26261088240534,186.84543618864265,187.63795471191406,187.63795471191406,53439000,0.0,0.0,Apple Inc.
2024-02-08 00:00:00-05:00,2024-02-08,AAPL,187.6181328392653,187.76672344534998,185.59722501634783,186.5581512451172,186.5581512451172,40962000,0.0,0.0,Apple Inc.
2024-02-09 00:00:00-05:00,2024-02-09,AAPL,187.12352087688578,188.45268968737696,186.4787864459619,187.32191467285156,187.32191467285156,45155200,0.24,0.0,Apple Inc.
