expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
10DEC25,2025-12-10,2700.0,C,102.6,0.136429,3125.903871032594,0.0,0.114,0.1615,,,0.0,ETH-10DEC25-2700-C
10DEC25,2025-12-10,2700.0,P,102.6,0.000174,3125.903871032594,372.0,,0.0003,,,186.0,ETH-10DEC25-2700-P
10DEC25,2025-12-10,2800.0,C,87.71,0.104608,3125.903871032594,0.0,0.081,0.133,,,0.0,ETH-10DEC25-2800-C
10DEC25,2025-12-10,2800.0,P,87.71,0.000343,3125.903871032594,240.0,0.0002,0.0005,,,42.0,ETH-10DEC25-2800-P
10DEC25,2025-12-10,2850.0,C,81.49,0.088819,3125.903871032594,0.0,0.064,0.114,,,0.0,ETH-10DEC25-2850-C
10DEC25,2025-12-10,2850.0,P,81.49,0.000549,3125.903871032594,37.0,0.0004,0.0007,,,25.0,ETH-10DEC25-2850-P
10DEC25,2025-12-10,2900.0,C,75.87,0.073212,3125.903871032594,0.0,0.062,0.088,,,0.0,ETH-10DEC25-2900-C
10DEC25,2025-12-10,2900.0,P,75.87,0.000938,3125.903871032594,288.0,0.0008,0.0011,,,252.0,ETH-10DEC25-2900-P
10DEC25,2025-12-10,2950.0,C,71.61,0.058035,3125.903871032594,30.0,0.056,0.0625,,,0.0,ETH-10DEC25-2950-C
10DEC25,2025-12-10,2950.0,P,71.61,0.001756,3125.903871032594,182.0,0.0016,0.0019,,,164.0,ETH-10DEC25-2950-P
10DEC25,2025-12-10,2975.0,C,69.42,0.050668,3125.903871032594,0.0,0.049,0.0525,,,0.0,ETH-10DEC25-2975-C
10DEC25,2025-12-10,2975.0,P,69.42,0.002387,3125.903871032594,94.0,0.0022,0.0026,,,50.0,ETH-10DEC25-2975-P
10DEC25,2025-12-10,3000.0,C,67.41,0.04354,3125.903871032594,0.0,0.042,0.0455,,,0.0,ETH-10DEC25-3000-C
10DEC25,2025-12-10,3000.0,P,67.41,0.003257,3125.8898765150934,413.0,0.0031,0.0034,,,392.0,ETH-10DEC25-3000-P
10DEC25,2025-12-10,3025.0,C,65.6,0.036738,3125.903871032594,1.0,0.035,0.0385,,,1.0,ETH-10DEC25-3025-C
10DEC25,2025-12-10,3025.0,P,65.6,0.004452,3125.8898765150934,164.0,0.0043,0.0046,,,115.0,ETH-10DEC25-3025-P
10DEC25,2025-12-10,3050.0,C,64.2,0.030393,3125.903871032594,216.0,0.029,0.032,,,0.0,ETH-10DEC25-3050-C
10DEC25,2025-12-10,3050.0,P,64.2,0.006105,3125.903871032594,112.0,0.0055,0.0065,,,9.0,ETH-10DEC25-3050-P
10DEC25,2025-12-10,3075.0,C,63.09,0.024597,3125.903871032594,72.0,0.0235,0.0255,,,85.0,ETH-10DEC25-3075-C
10DEC25,2025-12-10,3075.0,P,63.09,0.008306,3125.8898765150934,138.0,0.008,0.0085,,,151.0,ETH-10DEC25-3075-P
10DEC25,2025-12-10,3100.0,C,62.21,0.019433,3125.903871032594,607.0,0.019,0.02,,,140.0,ETH-10DEC25-3100-C
10DEC25,2025-12-10,3100.0,P,62.21,0.01114,3125.903871032594,774.0,0.0105,0.0115,,,303.0,ETH-10DEC25-3100-P
