expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
10DEC25,2025-12-10,84000.0,C,59.31,0.07405063,90698.31400788733,0.0,0.036,0.1105,,,0.0,BTC-10DEC25-84000-C
10DEC25,2025-12-10,84000.0,P,59.31,0.00019795,90698.31400788733,77.2,0.0001,0.0004,,,61.5,BTC-10DEC25-84000-P
10DEC25,2025-12-10,85000.0,C,57.53,0.06323064,90698.31400788733,0.0,0.0245,0.101,,,0.0,BTC-10DEC25-85000-C
10DEC25,2025-12-10,85000.0,P,57.53,0.00040351,90698.31400788733,47.6,0.0003,0.0005,,,52.5,BTC-10DEC25-85000-P
10DEC25,2025-12-10,86000.0,C,54.57,0.05252224,90698.31400788733,0.0,0.0505,0.054,,,0.0,BTC-10DEC25-86000-C
10DEC25,2025-12-10,86000.0,P,54.57,0.00072068,90698.31400788733,68.2,0.0006,0.0009,,,59.4,BTC-10DEC25-86000-P
10DEC25,2025-12-10,87000.0,C,51.79,0.04207929,90698.31400788733,20.0,0.041,0.043,,,0.0,BTC-10DEC25-87000-C
10DEC25,2025-12-10,87000.0,P,51.79,0.0013033,90698.31400788733,109.1,0.0012,0.0015,,,26.2,BTC-10DEC25-87000-P
10DEC25,2025-12-10,88000.0,C,48.87,0.03206562,90698.31400788733,0.1,0.031,0.033,,,0.0,BTC-10DEC25-88000-C
10DEC25,2025-12-10,88000.0,P,48.87,0.00231519,90698.31400788733,70.0,0.0021,0.0025,,,62.2,BTC-10DEC25-88000-P
10DEC25,2025-12-10,89000.0,C,46.55,0.02289147,90698.31400788733,13.6,0.0215,0.0235,,,10.2,BTC-10DEC25-89000-C
10DEC25,2025-12-10,89000.0,P,46.55,0.0041666,90698.31400788733,26.4,0.0039,0.0043,,,18.2,BTC-10DEC25-89000-P
10DEC25,2025-12-10,90000.0,C,45.23,0.01513336,90698.31400788733,40.3,0.0145,0.0155,,,15.7,BTC-10DEC25-90000-C
10DEC25,2025-12-10,90000.0,P,45.23,0.00743406,90698.31400788733,36.4,0.007,0.0075,,,41.9,BTC-10DEC25-90000-P
10DEC25,2025-12-10,91000.0,C,44.35,0.00911911,90698.31400788733,71.2,0.0085,0.0095,,,53.9,BTC-10DEC25-91000-C
10DEC25,2025-12-10,91000.0,P,44.35,0.01244537,90698.31400788733,45.4,0.012,0.013,,,50.7,BTC-10DEC25-91000-P
10DEC25,2025-12-10,92000.0,C,43.57,0.0049066,90698.05216423958,137.8,0.0046,0.005,,,21.6,BTC-10DEC25-92000-C
10DEC25,2025-12-10,92000.0,P,43.57,0.01925842,90698.31400788733,101.1,0.0185,0.02,,,25.1,BTC-10DEC25-92000-P
10DEC25,2025-12-10,93000.0,C,43.7,0.00244714,90698.31400788733,45.8,0.0022,0.0026,,,19.0,BTC-10DEC25-93000-C
10DEC25,2025-12-10,93000.0,P,43.7,0.02782452,90698.31400788733,1.2,0.027,0.0295,,,1.2,BTC-10DEC25-93000-P
10DEC25,2025-12-10,94000.0,C,45.06,0.00122305,90698.31400788733,55.0,0.0011,0.0013,,,40.6,BTC-10DEC25-94000-C
10DEC25,2025-12-10,94000.0,P,45.06,0.037626,90698.31400788733,0.0,0.022,0.081,,,0.0,BTC-10DEC25-94000-P
10DEC25,2025-12-10,96000.0,C,48.41,0.00029642,90698.31400788733,69.4,0.0002,0.0004,,,64.5,BTC-10DEC25-96000-C
10DEC25,2025-12-10,96000.0,P,48.41,0.05875049,90698.31400788733,0.0,0.022,0.07,,,0.0,BTC-10DEC25-96000-P
11DEC25,2025-12-11,82000.0,C,72.87,0.09692978,90707.63608211979,0.0,0.084,0.1085,,,0.0,BTC-11DEC25-82000-C
11DEC25,2025-12-11,82000.0,P,72.87,0.00093306,90707.63608211979,59.8,0.0009,0.0011,,,86.5,BTC-11DEC25-82000-P
11DEC25,2025-12-11,84000.0,C,67.85,0.07578979,90707.63608211979,0.0,0.0665,0.083,,,0.0,BTC-11DEC25-84000-C
11DEC25,2025-12-11,84000.0,P,67.85,0.00184192,90707.63608211979,4.8,0.0017,0.002,,,5.9,BTC-11DEC25-84000-P
11DEC25,2025-12-11,85000.0,C,65.59,0.06554371,90707.63608211979,0.0,0.0585,0.071,,,0.0,BTC-11DEC25-85000-C
11DEC25,2025-12-11,85000.0,P,65.59,0.00262027,90707.63608211979,9.4,0.0025,0.0029,,,6.7,BTC-11DEC25-85000-P
11DEC25,2025-12-11,86000.0,C,63.35,0.05560902,90707.63608211979,25.0,0.0545,0.0565,,,0.0,BTC-11DEC25-86000-C
11DEC25,2025-12-11,86000.0,P,63.35,0.00371002,90707.63608211979,188.5,0.0036,0.0039,,,205.4,BTC-11DEC25-86000-P
11DEC25,2025-12-11,87000.0,C,61.03,0.04607068,90707.63608211979,0.0,0.0445,0.047,,,0.0,BTC-11DEC25-87000-C
11DEC25,2025-12-11,87000.0,P,61.03,0.0051961,90707.63608211979,230.0,0.005,0.0055,,,233.0,BTC-11DEC25-87000-P
11DEC25,2025-12-11,88000.0,C,58.96,0.03714122,90707.63608211979,0.0,0.0355,0.038,,,0.1,BTC-11DEC25-88000-C
11DEC25,2025-12-11,88000.0,P,58.96,0.00729107,90707.63608211979,30.6,0.007,0.0075,,,2.2,BTC-11DEC25-88000-P
11DEC25,2025-12-11,89000.0,C,57.29,0.02903976,90707.63608211979,96.0,0.0285,0.0295,,,0.1,BTC-11DEC25-89000-C
11DEC25,2025-12-11,89000.0,P,57.29,0.01021404,90707.63608211979,137.0,0.01,0.0105,,,98.4,BTC-11DEC25-89000-P
11DEC25,2025-12-11,90000.0,C,55.81,0.02189489,90707.63608211979,120.5,0.0215,0.022,,,3.3,BTC-11DEC25-90000-C
11DEC25,2025-12-11,90000.0,P,55.81,0.01409361,90707.63608211979,91.5,0.0135,0.0145,,,85.8,BTC-11DEC25-90000-P
11DEC25,2025-12-11,91000.0,C,54.61,0.01587217,90707.63608211979,59.9,0.0155,0.0165,,,5.9,BTC-11DEC25-91000-C
11DEC25,2025-12-11,91000.0,P,54.61,0.01909531,90707.63608211979,52.5,0.0185,0.0195,,,59.4,BTC-11DEC25-91000-P
11DEC25,2025-12-11,92000.0,C,53.91,0.01110755,90707.63608211979,47.8,0.0105,0.0115,,,39.4,BTC-11DEC25-92000-C
11DEC25,2025-12-11,92000.0,P,53.91,0.02535513,90707.63608211979,10.7,0.0245,0.026,,,10.7,BTC-11DEC25-92000-P
11DEC25,2025-12-11,93000.0,C,53.91,0.00760672,90707.63608211979,29.2,0.007,0.008,,,24.2,BTC-11DEC25-93000-C
11DEC25,2025-12-11,93000.0,P,53.91,0.03287873,90707.63608211979,0.7,0.032,0.034,,,0.8,BTC-11DEC25-93000-P
11DEC25,2025-12-11,94000.0,C,54.21,0.00508903,90707.63608211979,12.2,0.0047,0.0055,,,6.6,BTC-11DEC25-94000-C
11DEC25,2025-12-11,94000.0,P,54.21,0.04138546,90707.63608211979,2.0,0.0405,0.0425,,,2.0,BTC-11DEC25-94000-P
11DEC25,2025-12-11,95000.0,C,54.23,0.00324637,90707.63608211979,8.6,0.003,0.0033,,,9.4,BTC-11DEC25-95000-C
11DEC25,2025-12-11,95000.0,P,54.23,0.05056724,90707.63608211979,2.3,0.0495,0.0525,,,2.3,BTC-11DEC25-95000-P
11DEC25,2025-12-11,96000.0,C,54.34,0.00200767,90707.63608211979,18.6,0.0018,0.0021,,,18.6,BTC-11DEC25-96000-C
11DEC25,2025-12-11,96000.0,P,54.34,0.06035297,90707.63608211979,0.0,0.02,0.1065,,,0.0,BTC-11DEC25-96000-P
11DEC25,2025-12-11,98000.0,C,57.49,0.00090947,90707.63608211979,21.8,0.0008,0.001,,,13.8,BTC-11DEC25-98000-C
11DEC25,2025-12-11,98000.0,P,57.49,0.08130363,90707.63608211979,0.0,0.039,0.1285,,,0.0,BTC-11DEC25-98000-P
12DEC25,2025-12-12,55000.0,C,118.91,0.39371294,90717.22,0.5,0.3925,0.395,,,0.0,BTC-12DEC25-55000-C
12DEC25,2025-12-12,55000.0,P,118.91,1e-07,90717.22,182.6,,0.0001,,,0.0,BTC-12DEC25-55000-P
