expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
11DEC25,2025-12-11,2800.0,P,92.92,0.00275,3116.118114113023,600.0,0.0025,0.003,,,325.0,ETH-11DEC25-2800-P
11DEC25,2025-12-11,2850.0,C,88.67,0.089234,3116.028113624249,18.0,0.0705,0.1035,,,0.0,ETH-11DEC25-2850-C
11DEC25,2025-12-11,2850.0,P,88.67,0.003833,3116.028113624249,150.0,0.0036,0.0041,,,134.0,ETH-11DEC25-2850-P
11DEC25,2025-12-11,2900.0,C,84.9,0.074793,3116.028113624249,0.0,0.0625,0.0855,,,0.0,ETH-11DEC25-2900-C
11DEC25,2025-12-11,2900.0,P,84.9,0.005438,3116.028113624249,16.0,0.005,0.006,,,8.0,ETH-11DEC25-2900-P
11DEC25,2025-12-11,2950.0,C,81.76,0.06113,3116.028113624249,4.0,0.052,0.0685,,,0.0,ETH-11DEC25-2950-C
11DEC25,2025-12-11,2950.0,P,81.76,0.007821,3116.028113624249,148.0,0.0075,0.008,,,111.0,ETH-11DEC25-2950-P
11DEC25,2025-12-11,3000.0,C,79.34,0.048563,3116.175264805949,3.0,0.042,0.051,,,0.0,ETH-11DEC25-3000-C
11DEC25,2025-12-11,3000.0,P,79.34,0.011299,3116.028113624249,157.0,0.011,0.0115,,,166.0,ETH-11DEC25-3000-P
11DEC25,2025-12-11,3025.0,C,78.37,0.042784,3116.028113624249,2.0,0.041,0.044,,,0.0,ETH-11DEC25-3025-C
11DEC25,2025-12-11,3025.0,P,78.37,0.013543,3116.028113624249,18.0,0.013,0.014,,,10.0,ETH-11DEC25-3025-P
11DEC25,2025-12-11,3050.0,C,77.55,0.03739,3116.175264805949,41.0,0.0365,0.038,,,1.0,ETH-11DEC25-3050-C
11DEC25,2025-12-11,3050.0,P,77.55,0.016172,3116.175264805949,174.0,0.0155,0.0165,,,113.0,ETH-11DEC25-3050-P
11DEC25,2025-12-11,3075.0,C,76.82,0.032392,3116.175264805949,91.0,0.0315,0.033,,,45.0,ETH-11DEC25-3075-C
11DEC25,2025-12-11,3075.0,P,76.82,0.019197,3116.028113624249,361.0,0.0185,0.0195,,,351.0,ETH-11DEC25-3075-P
11DEC25,2025-12-11,3100.0,C,76.21,0.027819,3116.175264805949,162.0,0.027,0.0285,,,23.0,ETH-11DEC25-3100-C
11DEC25,2025-12-11,3100.0,P,76.21,0.022647,3116.175264805949,164.0,0.022,0.023,,,164.0,ETH-11DEC25-3100-P
11DEC25,2025-12-11,3125.0,C,75.74,0.023695,3116.028113624249,34.0,0.023,0.024,,,34.0,ETH-11DEC25-3125-C
11DEC25,2025-12-11,3125.0,P,75.74,0.026545,3116.175264805949,585.0,0.026,0.027,,,650.0,ETH-11DEC25-3125-P
11DEC25,2025-12-11,3150.0,C,75.43,0.020028,3116.028113624249,198.0,0.0195,0.0205,,,75.0,ETH-11DEC25-3150-C
11DEC25,2025-12-11,3150.0,P,75.43,0.030901,3116.118114113023,472.0,0.03,0.0315,,,419.0,ETH-11DEC25-3150-P
11DEC25,2025-12-11,3175.0,C,75.42,0.016859,3116.028113624249,148.0,0.016,0.017,,,148.0,ETH-11DEC25-3175-C
11DEC25,2025-12-11,3175.0,P,75.42,0.035755,3116.175264805949,117.0,0.0345,0.0365,,,117.0,ETH-11DEC25-3175-P
11DEC25,2025-12-11,3200.0,C,75.48,0.014091,3116.028113624249,545.0,0.0135,0.0145,,,552.0,ETH-11DEC25-3200-C
11DEC25,2025-12-11,3200.0,P,75.48,0.04101,3116.028113624249,1.0,0.037,0.0475,,,1.0,ETH-11DEC25-3200-P
11DEC25,2025-12-11,3250.0,C,75.56,0.009596,3116.028113624249,448.0,0.009,0.01,,,446.0,ETH-11DEC25-3250-C
11DEC25,2025-12-11,3250.0,P,75.56,0.052561,3116.028113624249,0.0,0.046,0.0615,,,0.0,ETH-11DEC25-3250-P
11DEC25,2025-12-11,3300.0,C,75.77,0.006348,3116.175264805949,386.0,0.006,0.0065,,,275.0,ETH-11DEC25-3300-C
11DEC25,2025-12-11,3300.0,P,75.77,0.065358,3116.028113624249,0.0,0.0525,0.08,,,0.0,ETH-11DEC25-3300-P
11DEC25,2025-12-11,3400.0,C,77.53,0.002712,3116.028113624249,224.0,0.0025,0.0029,,,118.0,ETH-11DEC25-3400-C
11DEC25,2025-12-11,3400.0,P,77.53,0.093813,3116.028113624249,0.0,0.0455,0.1515,,,0.0,ETH-11DEC25-3400-P
11DEC25,2025-12-11,3500.0,C,80.32,0.001159,3116.028113624249,153.0,0.001,0.0013,,,164.0,ETH-11DEC25-3500-C
11DEC25,2025-12-11,3500.0,P,80.32,0.124352,3116.028113624249,0.0,0.075,0.1815,,,0.0,ETH-11DEC25-3500-P
