expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
10DEC25,2025-12-10,92000.0,C,46.19,0.00445804,90167.1710834714,134.7,0.0041,0.0045,,,23.0,BTC-10DEC25-92000-C
10DEC25,2025-12-10,92000.0,P,46.19,0.02478505,90167.1710834714,101.0,0.024,0.026,,,13.0,BTC-10DEC25-92000-P
10DEC25,2025-12-10,93000.0,C,46.5,0.00237237,90160.74430621344,45.8,0.0021,0.0025,,,28.1,BTC-10DEC25-93000-C
10DEC25,2025-12-10,93000.0,P,46.5,0.03378989,90167.1710834714,1.1,0.033,0.0355,,,1.1,BTC-10DEC25-93000-P
10DEC25,2025-12-10,94000.0,C,47.57,0.00124988,90167.1710834714,54.3,0.0011,0.0012,,,41.5,BTC-10DEC25-94000-C
10DEC25,2025-12-10,94000.0,P,47.57,0.04375791,90167.1710834714,0.0,0.0365,0.053,,,0.0,BTC-10DEC25-94000-P
10DEC25,2025-12-10,96000.0,C,51.61,0.00039088,90167.1710834714,43.3,0.0003,0.0004,,,34.9,BTC-10DEC25-96000-C
10DEC25,2025-12-10,96000.0,P,51.61,0.06507994,90167.1710834714,0.0,0.0455,0.092,,,0.0,BTC-10DEC25-96000-P
11DEC25,2025-12-11,82000.0,C,72.68,0.09204225,90167.05555838245,0.0,0.0815,0.101,,,0.0,BTC-11DEC25-82000-C
11DEC25,2025-12-11,82000.0,P,72.68,0.00141327,90167.05555838245,59.4,0.0014,0.0016,,,86.0,BTC-11DEC25-82000-P
11DEC25,2025-12-11,84000.0,C,67.23,0.07105146,90167.05555838245,0.0,0.0645,0.076,,,0.0,BTC-11DEC25-84000-C
11DEC25,2025-12-11,84000.0,P,67.23,0.00260227,90165.83715310672,4.8,0.0025,0.0027,,,5.9,BTC-11DEC25-84000-P
11DEC25,2025-12-11,85000.0,C,65.01,0.06098341,90167.05555838245,0.0,0.0595,0.0615,,,0.0,BTC-11DEC25-85000-C
11DEC25,2025-12-11,85000.0,P,65.01,0.00362411,90172.2155417357,9.4,0.0034,0.0038,,,6.7,BTC-11DEC25-85000-P
11DEC25,2025-12-11,86000.0,C,63.2,0.0513737,90167.05555838245,25.0,0.0495,0.052,,,0.0,BTC-11DEC25-86000-C
11DEC25,2025-12-11,86000.0,P,63.2,0.00510428,90167.6003263879,196.4,0.0048,0.0055,,,216.9,BTC-11DEC25-86000-P
11DEC25,2025-12-11,87000.0,C,60.63,0.04209158,90167.05555838245,0.0,0.0405,0.043,,,0.0,BTC-11DEC25-87000-C
11DEC25,2025-12-11,87000.0,P,60.63,0.00691206,90172.2155417357,241.9,0.0065,0.0075,,,268.0,BTC-11DEC25-87000-P
11DEC25,2025-12-11,88000.0,C,58.66,0.03357701,90174.58503474436,0.0,0.0325,0.0345,,,0.1,BTC-11DEC25-88000-C
11DEC25,2025-12-11,88000.0,P,58.66,0.00948738,90172.2155417357,29.9,0.009,0.01,,,4.0,BTC-11DEC25-88000-P
11DEC25,2025-12-11,89000.0,C,57.21,0.02601688,90165.83715310672,96.0,0.025,0.0265,,,0.1,BTC-11DEC25-89000-C
11DEC25,2025-12-11,89000.0,P,57.21,0.01301714,90167.6003263879,147.8,0.0125,0.0135,,,76.4,BTC-11DEC25-89000-P
11DEC25,2025-12-11,90000.0,C,55.92,0.01945583,90172.73647202365,120.5,0.019,0.02,,,13.8,BTC-11DEC25-90000-C
11DEC25,2025-12-11,90000.0,P,55.92,0.01754598,90172.3192494378,91.5,0.017,0.018,,,75.7,BTC-11DEC25-90000-P
11DEC25,2025-12-11,91000.0,C,54.87,0.01401349,90172.2155417357,57.6,0.0135,0.0145,,,53.8,BTC-11DEC25-91000-C
11DEC25,2025-12-11,91000.0,P,54.87,0.02319353,90174.58503474436,52.5,0.0225,0.0235,,,61.1,BTC-11DEC25-91000-P
11DEC25,2025-12-11,92000.0,C,54.83,0.00994686,90172.2155417357,47.1,0.0095,0.01,,,43.0,BTC-11DEC25-92000-C
11DEC25,2025-12-11,92000.0,P,54.83,0.03021678,90167.05555838245,10.7,0.0295,0.0315,,,11.0,BTC-11DEC25-92000-P
11DEC25,2025-12-11,93000.0,C,54.87,0.00684605,90172.2155417357,28.9,0.006,0.007,,,27.3,BTC-11DEC25-93000-C
11DEC25,2025-12-11,93000.0,P,54.87,0.03820587,90167.05555838245,0.7,0.037,0.0395,,,0.8,BTC-11DEC25-93000-P
11DEC25,2025-12-11,94000.0,C,54.7,0.00451425,90172.2155417357,11.5,0.0041,0.0046,,,5.6,BTC-11DEC25-94000-C
11DEC25,2025-12-11,94000.0,P,54.7,0.04696396,90167.05555838245,2.0,0.046,0.0485,,,2.0,BTC-11DEC25-94000-P
11DEC25,2025-12-11,95000.0,C,54.88,0.0029255,90172.2155417357,8.6,0.0027,0.003,,,9.4,BTC-11DEC25-95000-C
11DEC25,2025-12-11,95000.0,P,54.88,0.0564651,90167.05555838245,2.3,0.055,0.058,,,2.3,BTC-11DEC25-95000-P
11DEC25,2025-12-11,96000.0,C,55.24,0.00186411,90167.05555838245,15.7,0.0017,0.002,,,15.7,BTC-11DEC25-96000-C
11DEC25,2025-12-11,96000.0,P,55.24,0.0664936,90167.05555838245,0.0,0.0255,0.1135,,,0.0,BTC-11DEC25-96000-P
11DEC25,2025-12-11,98000.0,C,57.91,0.00084421,90165.83715310672,17.8,0.0008,0.001,,,11.0,BTC-11DEC25-98000-C
11DEC25,2025-12-11,98000.0,P,57.91,0.08765348,90167.05555838245,0.0,0.046,0.1355,,,0.0,BTC-11DEC25-98000-P
12DEC25,2025-12-12,55000.0,C,118.91,0.39009036,90181.27,0.5,0.389,0.3915,,,0.0,BTC-12DEC25-55000-C
12DEC25,2025-12-12,55000.0,P,118.91,2.2e-07,90181.27,182.6,,0.0001,,,0.0,BTC-12DEC25-55000-P
12DEC25,2025-12-12,60000.0,C,117.33,0.33464845,90177.43,1.7,0.3335,0.3355,,,0.4,BTC-12DEC25-60000-C
12DEC25,2025-12-12,60000.0,P,117.33,4.66e-06,90177.43,462.1,,0.0001,,,0.0,BTC-12DEC25-60000-P
12DEC25,2025-12-12,65000.0,C,114.46,0.27924616,90177.43,0.0,0.2775,0.2805,,,0.0,BTC-12DEC25-65000-C
12DEC25,2025-12-12,65000.0,P,114.46,4.872e-05,90181.27,679.1,,0.0001,,,2.7,BTC-12DEC25-65000-P
12DEC25,2025-12-12,70000.0,C,100.83,0.22389519,90181.27,0.0,0.2225,0.225,,,0.0,BTC-12DEC25-70000-C
12DEC25,2025-12-12,70000.0,P,100.83,0.0001441,90181.27,1063.4,0.0001,0.0002,,,7.5,BTC-12DEC25-70000-P
12DEC25,2025-12-12,75000.0,C,82.6,0.16859558,90181.27,2.4,0.1675,0.1695,,,0.1,BTC-12DEC25-75000-C
12DEC25,2025-12-12,75000.0,P,82.6,0.00029085,90181.27,1768.9,0.0002,0.0004,,,87.3,BTC-12DEC25-75000-P
12DEC25,2025-12-12,78000.0,C,76.2,0.13572675,90181.27,4.1,0.1345,0.1365,,,0.0,BTC-12DEC25-78000-C
12DEC25,2025-12-12,78000.0,P,76.2,0.00068982,90181.27,1159.7,0.0006,0.0008,,,15.7,BTC-12DEC25-78000-P
12DEC25,2025-12-12,80000.0,C,70.99,0.11400053,90181.27,10.3,0.113,0.115,,,0.0,BTC-12DEC25-80000-C
12DEC25,2025-12-12,80000.0,P,70.99,0.00114214,90177.43,3040.6,0.0011,0.0013,,,8.9,BTC-12DEC25-80000-P
12DEC25,2025-12-12,81000.0,C,69.02,0.10331165,90181.27,17.7,0.102,0.104,,,0.0,BTC-12DEC25-81000-C
12DEC25,2025-12-12,81000.0,P,69.02,0.00154254,90177.43,277.9,0.0015,0.0017,,,16.8,BTC-12DEC25-81000-P
12DEC25,2025-12-12,82000.0,C,66.78,0.09272226,90177.43,105.6,0.0915,0.0935,,,4.5,BTC-12DEC25-82000-C
12DEC25,2025-12-12,82000.0,P,66.78,0.00204241,90177.43,1023.9,0.002,0.0022,,,16.2,BTC-12DEC25-82000-P
12DEC25,2025-12-12,83000.0,C,64.73,0.0823248,90181.27,9.2,0.081,0.083,,,0.2,BTC-12DEC25-83000-C
12DEC25,2025-12-12,83000.0,P,64.73,0.00273422,90181.27,784.2,0.0027,0.0029,,,30.7,BTC-12DEC25-83000-P
12DEC25,2025-12-12,84000.0,C,62.83,0.07218234,90181.27,97.0,0.071,0.073,,,0.0,BTC-12DEC25-84000-C
12DEC25,2025-12-12,84000.0,P,62.83,0.00368103,90181.27,1142.9,0.0036,0.0038,,,110.1,BTC-12DEC25-84000-P
12DEC25,2025-12-12,85000.0,C,61.53,0.06248403,90181.27,62.1,0.061,0.063,,,2.3,BTC-12DEC25-85000-C
12DEC25,2025-12-12,85000.0,P,61.53,0.00507199,90177.43,909.7,0.0048,0.0055,,,48.2,BTC-12DEC25-85000-P
12DEC25,2025-12-12,86000.0,C,59.31,0.05296572,90181.27,273.1,0.0515,0.0535,,,0.5,BTC-12DEC25-86000-C
12DEC25,2025-12-12,86000.0,P,59.31,0.00664296,90177.43,820.4,0.0065,0.007,,,311.3,BTC-12DEC25-86000-P
12DEC25,2025-12-12,87000.0,C,57.57,0.04406213,90181.27,585.4,0.043,0.045,,,8.1,BTC-12DEC25-87000-C
12DEC25,2025-12-12,87000.0,P,57.57,0.00882863,90181.27,369.1,0.0085,0.009,,,51.8,BTC-12DEC25-87000-P
12DEC25,2025-12-12,88000.0,C,56.19,0.03589084,90181.27,998.2,0.035,0.0365,,,2.1,BTC-12DEC25-88000-C
12DEC25,2025-12-12,88000.0,P,56.19,0.01174661,90181.27,802.8,0.0115,0.012,,,298.8,BTC-12DEC25-88000-P
12DEC25,2025-12-12,89000.0,C,54.71,0.02842645,90181.27,284.1,0.028,0.029,,,12.0,BTC-12DEC25-89000-C
12DEC25,2025-12-12,89000.0,P,54.71,0.0153715,90177.43,900.8,0.015,0.0155,,,86.0,BTC-12DEC25-89000-P
12DEC25,2025-12-12,90000.0,C,53.67,0.02197441,90181.27,1533.1,0.0215,0.0225,,,184.4,BTC-12DEC25-90000-C
12DEC25,2025-12-12,90000.0,P,53.67,0.02000872,90181.27,718.7,0.0195,0.0205,,,216.2,BTC-12DEC25-90000-P
12DEC25,2025-12-12,91000.0,C,52.81,0.01651137,90177.43,1026.9,0.016,0.017,,,49.1,BTC-12DEC25-91000-C
12DEC25,2025-12-12,91000.0,P,52.81,0.02563496,90181.27,595.1,0.025,0.026,,,112.0,BTC-12DEC25-91000-P
12DEC25,2025-12-12,92000.0,C,52.65,0.01224276,90177.43,740.4,0.0115,0.0125,,,288.4,BTC-12DEC25-92000-C
12DEC25,2025-12-12,92000.0,P,52.65,0.03245562,90181.27,902.2,0.0315,0.0335,,,39.3,BTC-12DEC25-92000-P
12DEC25,2025-12-12,93000.0,C,52.73,0.00891484,90181.27,1368.6,0.008,0.009,,,136.9,BTC-12DEC25-93000-C
12DEC25,2025-12-12,93000.0,P,52.73,0.04021696,90181.27,652.7,0.039,0.041,,,9.2,BTC-12DEC25-93000-P
12DEC25,2025-12-12,94000.0,C,52.74,0.00631687,90177.43,670.8,0.0055,0.0065,,,169.1,BTC-12DEC25-94000-C
12DEC25,2025-12-12,94000.0,P,52.74,0.04870826,90177.43,173.8,0.0475,0.05,,,12.4,BTC-12DEC25-94000-P
12DEC25,2025-12-12,95000.0,C,52.73,0.00435937,90181.27,1822.3,0.004,0.0044,,,398.5,BTC-12DEC25-95000-C
12DEC25,2025-12-12,95000.0,P,52.73,0.05784004,90181.27,23.2,0.0565,0.0595,,,2.2,BTC-12DEC25-95000-P
12DEC25,2025-12-12,96000.0,C,52.9,0.00296694,90177.43,1905.3,0.0027,0.003,,,506.7,BTC-12DEC25-96000-C
12DEC25,2025-12-12,96000.0,P,52.9,0.06753687,90181.27,107.5,0.066,0.069,,,2.5,BTC-12DEC25-96000-P
12DEC25,2025-12-12,98000.0,C,54.7,0.00145911,90181.27,1281.2,0.0013,0.0016,,,146.6,BTC-12DEC25-98000-C
12DEC25,2025-12-12,98000.0,P,54.7,0.08820759,90177.43,13.2,0.0865,0.0895,,,0.6,BTC-12DEC25-98000-P
12DEC25,2025-12-12,100000.0,C,57.61,0.00078755,90181.27,3485.2,0.0007,0.0009,,,157.6,BTC-12DEC25-100000-C
12DEC25,2025-12-12,100000.0,P,57.61,0.10971457,90181.27,45.4,0.1085,0.111,,,0.0,BTC-12DEC25-100000-P
12DEC25,2025-12-12,105000.0,C,68.2,0.00028415,90181.27,2281.2,0.0002,0.0004,,,127.0,BTC-12DEC25-105000-C
12DEC25,2025-12-12,105000.0,P,68.2,0.16465751,90181.27,281.4,0.1635,0.166,,,0.1,BTC-12DEC25-105000-P
12DEC25,2025-12-12,108000.0,C,74.58,0.00017828,90181.27,1005.1,0.0001,0.0003,,,17.3,BTC-12DEC25-108000-C
12DEC25,2025-12-12,108000.0,P,74.58,0.19781946,90181.27,26.8,0.1965,0.199,,,0.1,BTC-12DEC25-108000-P
19DEC25,2025-12-19,70000.0,C,73.32,0.22505938,90232.89,0.4,0.2235,0.2265,,,0.0,BTC-19DEC25-70000-C
