expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name,contractSymbol,underlying_ticker
2025-12-16,2025-12-16,5825.0,P,0.6562534375000001,0.05,6816.509765625,571.0,0.0,0.1,0.0,0.1,74.0,^SPX-2025-12-16-5825.0-P,SPXW251216P05825000,^SPX
2025-12-16,2025-12-16,5850.0,P,0.6093789062500001,0.03,6816.509765625,296.0,0.0,0.05,0.0,0.05,457.0,^SPX-2025-12-16-5850.0-P,SPXW251216P05850000,^SPX
2025-12-16,2025-12-16,5875.0,P,0.62305064453125,0.05,6816.509765625,187.0,0.0,0.1,0.0,0.1,976.0,^SPX-2025-12-16-5875.0-P,SPXW251216P05875000,^SPX
2025-12-16,2025-12-16,5900.0,C,0.948242705078125,822.53,6816.509765625,1.0,907.8,931.7,907.8,931.7,2.0,^SPX-2025-12-16-5900.0-C,SPXW251216C05900000,^SPX
2025-12-16,2025-12-16,5900.0,P,0.2500075,0.05,6816.509765625,1035.0,0.0,0.0,0.0,0.0,1900.0,^SPX-2025-12-16-5900.0-P,SPXW251216P05900000,^SPX
2025-12-16,2025-12-16,5925.0,P,0.5898478515625001,0.05,6816.509765625,666.0,0.0,0.1,0.0,0.1,474.0,^SPX-2025-12-16-5925.0-P,SPXW251216P05925000,^SPX
2025-12-16,2025-12-16,5950.0,P,0.5742230078125,0.05,6816.509765625,602.0,0.0,0.1,0.0,0.1,705.0,^SPX-2025-12-16-5950.0-P,SPXW251216P05950000,^SPX
2025-12-16,2025-12-16,5975.0,P,0.5566450585937501,0.05,6816.509765625,675.0,0.0,0.1,0.0,0.1,551.0,^SPX-2025-12-16-5975.0-P,SPXW251216P05975000,^SPX
2025-12-16,2025-12-16,6000.0,C,0.8266618896484373,820.9,6816.509765625,5.0,806.6,831.7,806.6,831.7,1.0,^SPX-2025-12-16-6000.0-C,SPXW251216C06000000,^SPX
2025-12-16,2025-12-16,6000.0,P,0.5410202148437502,0.03,6816.509765625,720.0,0.0,0.1,0.0,0.1,312.0,^SPX-2025-12-16-6000.0-P,SPXW251216P06000000,^SPX
2025-12-16,2025-12-16,6025.0,P,0.52539537109375,0.05,6816.509765625,98.0,0.0,0.1,0.0,0.1,148.0,^SPX-2025-12-16-6025.0-P,SPXW251216P06025000,^SPX
2025-12-16,2025-12-16,6050.0,P,0.507817421875,0.05,6816.509765625,168.0,0.0,0.05,0.0,0.05,296.0,^SPX-2025-12-16-6050.0-P,SPXW251216P06050000,^SPX
2025-12-16,2025-12-16,6075.0,P,0.5214891601562499,0.05,6816.509765625,69.0,0.0,0.1,0.0,0.1,198.0,^SPX-2025-12-16-6075.0-P,SPXW251216P06075000,^SPX
2025-12-16,2025-12-16,6100.0,C,0.7229031616210937,737.52,6816.509765625,0.0,706.7,731.1,706.7,731.1,2.0,^SPX-2025-12-16-6100.0-C,SPXW251216C06100000,^SPX
2025-12-16,2025-12-16,6100.0,P,0.5039112109375,0.03,6816.509765625,357.0,0.0,0.1,0.0,0.1,191.0,^SPX-2025-12-16-6100.0-P,SPXW251216P06100000,^SPX
2025-12-16,2025-12-16,6125.0,P,0.48730981445312505,0.05,6816.509765625,639.0,0.0,0.1,0.0,0.1,172.0,^SPX-2025-12-16-6125.0-P,SPXW251216P06125000,^SPX
2025-12-16,2025-12-16,6150.0,P,0.46973186523437505,0.05,6816.509765625,103.0,0.0,0.1,0.0,0.1,426.0,^SPX-2025-12-16-6150.0-P,SPXW251216P06150000,^SPX
2025-12-16,2025-12-16,6175.0,P,0.45313046875,0.05,6816.509765625,345.0,0.0,0.1,0.0,0.1,92.0,^SPX-2025-12-16-6175.0-P,SPXW251216P06175000,^SPX
2025-12-16,2025-12-16,6200.0,C,0.6411168701171875,618.5,6816.509765625,6.0,606.6,631.7,606.6,631.7,3.0,^SPX-2025-12-16-6200.0-C,SPXW251216C06200000,^SPX
2025-12-16,2025-12-16,6200.0,P,0.43604079589843747,0.05,6816.509765625,906.0,0.0,0.1,0.0,0.1,133.0,^SPX-2025-12-16-6200.0-P,SPXW251216P06200000,^SPX
2025-12-16,2025-12-16,6225.0,C,0.6530796411132813,600.37,6816.509765625,1.0,593.0,597.4,593.0,597.4,1.0,^SPX-2025-12-16-6225.0-C,SPXW251216C06225000,^SPX
2025-12-16,2025-12-16,6225.0,P,0.418951123046875,0.05,6816.509765625,67.0,0.0,0.1,0.0,0.1,28.0,^SPX-2025-12-16-6225.0-P,SPXW251216P06225000,^SPX
2025-12-16,2025-12-16,6250.0,C,0.6303747900390625,607.63,6816.509765625,0.0,568.1,572.4,568.1,572.4,,^SPX-2025-12-16-6250.0-C,SPXW251216C06250000,^SPX
2025-12-16,2025-12-16,6250.0,P,0.4023497265625,0.05,6816.509765625,163.0,0.0,0.1,0.0,0.1,58.0,^SPX-2025-12-16-6250.0-P,SPXW251216P06250000,^SPX
2025-12-16,2025-12-16,6275.0,P,0.3852600537109374,0.05,6816.509765625,99.0,0.0,0.1,0.0,0.1,50.0,^SPX-2025-12-16-6275.0-P,SPXW251216P06275000,^SPX
2025-12-16,2025-12-16,6280.0,P,0.38184211914062494,0.13,6816.509765625,83.0,0.0,0.1,0.0,0.1,7.0,^SPX-2025-12-16-6280.0-P,SPXW251216P06280000,^SPX
2025-12-16,2025-12-16,6290.0,P,0.37500625,0.2,6816.509765625,39.0,0.0,0.1,0.0,0.1,2.0,^SPX-2025-12-16-6290.0-P,SPXW251216P06290000,^SPX
2025-12-16,2025-12-16,6300.0,C,0.5858806060791015,528.58,6816.509765625,3.0,518.3,522.5,518.3,522.5,3.0,^SPX-2025-12-16-6300.0-C,SPXW251216C06300000,^SPX
2025-12-16,2025-12-16,6300.0,P,0.36817038085937503,0.05,6816.509765625,849.0,0.0,0.1,0.0,0.1,155.0,^SPX-2025-12-16-6300.0-P,SPXW251216P06300000,^SPX
2025-12-16,2025-12-16,6310.0,P,0.36133451171875,0.07,6816.509765625,124.0,0.0,0.1,0.0,0.1,276.0,^SPX-2025-12-16-6310.0-P,SPXW251216P06310000,^SPX
2025-12-16,2025-12-16,6320.0,C,0.5662885168457032,502.62,6816.509765625,2.0,498.2,502.6,498.2,502.6,2.0,^SPX-2025-12-16-6320.0-C,SPXW251216C06320000,^SPX
2025-12-16,2025-12-16,6320.0,P,0.3544986425781249,0.05,6816.509765625,79.0,0.0,0.1,0.0,0.1,381.0,^SPX-2025-12-16-6320.0-P,SPXW251216P06320000,^SPX
2025-12-16,2025-12-16,6325.0,C,0.5614057531738281,462.61,6816.509765625,2.0,493.2,497.6,493.2,497.6,1.0,^SPX-2025-12-16-6325.0-C,SPXW251216C06325000,^SPX
2025-12-16,2025-12-16,6325.0,P,0.36524072265625,0.05,6816.509765625,62.0,0.0,0.15,0.0,0.15,61.0,^SPX-2025-12-16-6325.0-P,SPXW251216P06325000,^SPX
2025-12-16,2025-12-16,6330.0,P,0.3618227880859375,0.07,6816.509765625,56.0,0.0,0.15,0.0,0.15,21.0,^SPX-2025-12-16-6330.0-P,SPXW251216P06330000,^SPX
2025-12-16,2025-12-16,6340.0,C,0.5454147021484376,482.59,6816.509765625,4.0,478.2,482.5,478.2,482.5,2.0,^SPX-2025-12-16-6340.0-C,SPXW251216C06340000,^SPX
